4.1724,5.6672,6.2779,0.80466,0.66597,5.9478,-1.2658,-5.6081,2
3.954,8.068,4.555,4.7193,0.025617,6.6608,0.72314,-2.8644,2
-0.6143,1.1509,1.3872,2.8388,-3.5195,2.2626,-3.1878,-7.9424,2
4.5648,4.2623,9.609,0.56265,2.1909,8.4453,-0.16304,-1.4344,2
4.4811,5.6614,1.4255,-1.1105,2.0657,6.8779,-4.5452,-4.7341,2
1.6419,3.4305,1.3344,-0.61179,-2.1417,3.4657,-2.0688,-2.7337,1
-1.3897,1.7399,1.2641,2.5651,-3.8253,3.1491,-3.7938,-5.3392,1
2.2357,2.6522,-0.066582,-1.3425,0.31902,3.6815,-2.3431,-7.0795,1
3.984,3.1164,3.7797,2.3972,1.9916,5.9839,-2.7069,-1.7166,2
2.5248,0.38961,3.7185,-2.6887,-0.078359,4.3849,-3.1419,-0.54371,2
2.473,4.2726,6.0336,-0.5596,-0.90239,4.4843,-1.6991,-5.1563,1
3.6553,5.9093,7.787,3.157,1.5012,9.2955,-0.10869,5.3793,2
-1.5079,2.3668,2.9717,-1.8132,-2.6344,4.078,-7.6867,-5.754,1
0.93421,2.6778,6.9175,0.23599,0.49761,4.2598,-3.3106,-6.8118,1
6.4578,6.1253,11.578,3.9095,0.34873,9.2077,1.7129,0.95735,2
4.1135,4.7098,7.737,1.7578,1.4321,6.8707,-1.3813,-0.95559,2
4.2661,4.8933,8.6332,-2.6051,3.7574,6.3371,-0.33415,-3.8862,2
5.4116,7.2866,7.2674,3.2089,3.3496,7.0219,3.8565,-1.2171,2
4.3444,7.4356,4.8839,-0.8395,1.5836,9.669,-4.1755,-0.79381,2
1.4358,2.1312,3.5756,-1.4972,1.5334,4.7887,-5.9156,-1.0745,2
2.1242,3.7548,1.2329,1.7783,-1.3544,5.2011,-4.2634,-3.354,1
2.5561,6.6645,2.9076,-2.1991,1.1614,6.8218,-1.8232,-7.2224,2
2.0644,5.7295,1.7045,1.1468,-1.06,6.2053,-2.1222,-0.38363,2
